,date,capacity,turnover,open,high,low,close,change,transaction
216,2010/11/15,504460,56597820,114,114,111,111.5,0.5,343
217,2010/11/16,708135,78823255,111.5,112.5,110.5,111,-0.5,448
218,2010/11/17,1455186,161335734,111,111.5,109,111.5,0.5,753
219,2010/11/18,617303,68480633,111,112,110,111,-0.5,343
220,2010/11/19,1209669,135106092,111.5,112.5,111,111.5,0.5,608
221,2010/11/22,1606151,176246110,111,111,109,109.5,-2,588
222,2010/11/23,2016381,219544531,110,111,108,109,-0.5,641
223,2010/11/24,428958,46659422,108,109.5,108,108.5,-0.5,308
224,2010/11/25,1343508,145212864,108.5,109.5,107.5,108,-0.5,932
225,2010/11/26,1485617,161257253,109,109.5,108,109,1,691
226,2010/11/29,1262981,137679929,110,110.5,108,108.5,-0.5,841
227,2010/11/30,1159775,126168585,108.5,109.5,108,108,-0.5,607
228,2010/12/1,2508431,274147479,109,110,108,109,1,1260
229,2010/12/2,1329752,145173968,110,110.5,108.5,109,0,826
230,2010/12/3,1223217,133200153,109,110,108.5,108.5,-0.5,774
231,2010/12/6,2513368,279162160,112,112.5,110,110,1.5,1531
232,2010/12/7,2637689,291350968,110.5,111.5,109.5,110.5,0.5,1310
233,2010/12/8,1935767,215069137,110.5,112.5,110,111,0.5,1149
234,2010/12/9,2682147,304015680,112,114.5,111.5,113.5,2.5,1630
235,2010/12/10,1195321,134835609,113,114.5,112,112.5,-1,662
236,2010/12/13,1212863,137707519,112.5,114.5,112,114,1.5,726
237,2010/12/14,1456945,164638840,115,115,112,112,-2,1089
238,2010/12/15,1020623,113811461,113,113,110.5,111.5,-0.5,612
239,2010/12/16,282766,31608792,111.5,112.5,111.5,112,0.5,246
240,2010/12/17,470581,52815072,113,113,112,112,0,318
241,2010/12/20,1221724,136737448,112.5,113,111,113,1,614
242,2010/12/21,2534781,290259315,113,116,112,115.5,2.5,1371
243,2010/12/22,1610745,183911300,116,116,113.5,113.5,-2,815
244,2010/12/23,1331629,149918761,115,115,111.5,112,-1.5,723
245,2010/12/24,494603,55457336,112,113,111.5,112.5,0.5,352
246,2010/12/27,925418,102833398,112,112,110.5,111,-1.5,576
247,2010/12/28,572738,63862918,112,112,111,112,1,447
248,2010/12/29,1346152,148121220,111,112,109,110,-2,965
249,2010/12/30,632787,69716462,111,111.5,109.5,110.5,0.5,446
250,2010/12/31,1285216,141094544,111,111.5,108.5,108.5,-2,973
251,2011/1/3,1054932,116369520,109.5,111,109,110.5,2,538
252,2011/1/4,825972,91758125,111,111.5,110.5,111.5,1,377
253,2011/1/5,1561078,171356850,111.5,111.5,109,109.5,-2,398
254,2011/1/6,1871026,201025292,109,110,106.5,107,-2.5,1139
255,2011/1/7,2406618,258108431,107,108,106.5,107,0,661
256,2011/1/10,925294,98200164,106,107,105.5,106,-1,525
257,2011/1/11,735285,79096133,106,108,105.5,108,2,444
258,2011/1/12,966309,104487563,108.5,109.5,107,107,-1,608
259,2011/1/13,541988,58360692,108,108.5,107,107.5,0.5,380
260,2011/1/14,1065825,115581185,107.5,109.5,107.5,108,0.5,656
261,2011/1/17,739501,79670607,108,109,107,107.5,-0.5,370
262,2011/1/18,595166,64204262,107.5,108.5,107,107.5,0,381
263,2011/1/19,968730,104556840,107.5,109,107.5,108.5,1,726
264,2011/1/20,1421841,153187747,108,109,106.5,109,0.5,905
265,2011/1/21,2255838,246284680,109,112,107,107,-2,1389
266,2011/1/24,233539,25235941,108,108.5,107.5,108,1,181
267,2011/1/25,738472,80319209,108,110,107.5,109,1,362
268,2011/1/26,620792,67798429,109,110,108.5,109,0,325
269,2011/1/27,1440972,159777920,109.5,112,109,110.5,1.5,820
270,2011/1/28,641854,70330440,110.5,111,109,109.5,-1,459
271,2011/2/8,364431,39697763,110,110.5,108,108.5,-1,303
272,2011/2/9,836447,89403882,107.5,108.5,106,106,-2.5,572
273,2011/2/10,782900,83514300,107,108,106,106,0,493
274,2011/2/11,661593,70175858,108,108,105,105,-1,496
275,2011/2/14,940519,98246495,105,105.5,103.5,104,-1,738
276,2011/2/15,1537820,158298960,103,104,102,103,-1,1098
277,2011/2/16,1706624,172215520,103,103,100,100,-3,996
278,2011/2/17,1108694,112849288,100.5,103,100,101.5,1.5,815
279,2011/2/18,1555253,163151942,103.5,107,103,106.5,5,1005
280,2011/2/21,790062,84720100,107.5,108.5,105.5,107,0.5,578
281,2011/2/22,1049512,109189014,106,106,102.5,104,-3,776
282,2011/2/23,957489,99607856,103.5,105,103,105,1,521
283,2011/2/24,845565,88213825,106,106,102.5,104.5,-0.5,523
284,2011/2/25,444954,46763624,105.5,106,103.5,106,1.5,349
285,2011/3/1,864295,93402860,107.5,109,107,108.5,2.5,661
286,2011/3/2,716171,76648126,106.5,108.5,106,106,-2.5,501
287,2011/3/3,1556944,165229089,106,107.5,105,105,-1,779
288,2011/3/4,877988,93124204,107,107,105.5,106.5,1.5,516
289,2011/3/7,856823,90124738,105.5,106.5,104.5,105.5,-1,295
290,2011/3/8,450948,47111063,104.5,106,104,104.5,-1,358
291,2011/3/9,246716,26117036,106,106.5,105,106,1.5,206
292,2011/3/10,373235,38878440,105,106,103.5,104,-2,272
293,2011/3/11,621511,63285655,102,103.5,101,102,-2,393
294,2011/3/14,439283,44320866,101,102,100,101,-1,282
295,2011/3/15,2129403,204358217,101,101.5,94,94,-7,1275
296,2011/3/16,2729114,246964516,94.2,94.3,89,90.2,-3.8,1594
297,2011/3/17,2671805,237977960,84.6,91.1,84.6,91.1,0.9,1315
298,2011/3/18,1317159,124367183,92,95.8,91.7,95.6,4.5,951
299,2011/3/21,713974,68341826,96,96.7,94,95.8,0.2,614
300,2011/3/22,484484,46431905,96,96.8,95.3,95.3,-0.5,370
301,2011/3/23,1751639,161512543,94,94.1,91.1,92.5,-2.8,1049
302,2011/3/24,8153872,710129177,92,92,86.1,86.2,-6.3,4133
303,2011/3/25,4312261,375589634,86.2,87.9,86.2,87.3,1.1,2221
304,2011/3/28,1720345,151730205,87.9,89.6,86.4,88.4,1.1,1163
305,2011/3/29,1267498,111379022,88.5,89.1,86.8,87.9,-0.5,883
306,2011/3/30,1224930,109333270,88,90.3,88,88.8,0.9,821
307,2011/3/31,721780,63449600,89,89.6,87.3,87.7,-1.1,529
308,2011/4/1,1082875,95856750,88.5,89,87.7,89,1.3,706
309,2011/4/6,1468729,133085001,90.5,91.5,89.8,91.1,2.1,1098
310,2011/4/7,3118308,292898001,91.5,96.3,90.5,95.8,4.7,1707
311,2011/4/8,2761157,265021072,96,98,94.4,95.8,0,1495
312,2011/4/11,919300,87749059,96.5,97.2,94,94.6,-1.2,543
313,2011/4/12,964574,89381246,94,94.5,92,92.6,-2,631
314,2011/4/13,533008,49409042,92.3,93.5,92.1,93.1,0.5,361
315,2011/4/14,1560763,149854911,93.7,97.5,93.7,97.5,4.4,920
316,2011/4/15,1848247,180024455,97.5,97.8,96.2,97.2,-0.3,986
317,2011/4/18,581970,56415990,97,97.5,95.2,96.9,-0.3,342
318,2011/4/19,281681,26752986,96.5,96.5,94.5,94.7,-2.2,257
319,2011/4/20,462432,43961080,95.1,95.4,94.8,95,0.3,259
320,2011/4/21,1686984,164503157,95.5,98.5,95.5,96.6,1.6,885
321,2011/4/22,656503,62945430,97,98,95.1,95.4,-1.2,449
322,2011/4/25,301350,28740250,95.5,96.5,95.1,95.2,-0.2,181
323,2011/4/26,410227,38973876,94,96,93.3,96,0.8,278
324,2011/4/27,354451,34192696,96,96.8,95.9,96.5,0.5,288
325,2011/4/28,501633,47676416,96.5,96.5,94.1,94.5,-2,351
326,2011/4/29,580599,54344041,94.5,94.5,93,93.6,-0.9,414
327,2011/5/3,1456976,140909690,94.4,98,94.1,96.6,3,1074
328,2011/5/4,1015788,98735897,97.3,98.5,96.2,96.7,0.1,736
329,2011/5/5,4391579,445835142,96.7,103,96,103,6.3,2079
330,2011/5/6,3475603,363134804,104,106,102.5,103,0,1720
331,2011/5/9,2935357,317682699,105,110,105,107.5,4.5,1338
332,2011/5/10,1788196,188647580,106,107,104.5,106,-1.5,864
333,2011/5/11,3339919,364859171,109,110.5,107.5,110,4,1836
334,2011/5/12,1476587,158401222,110,110,106,106,-4,962
335,2011/5/13,1944020,205192600,108,108,104.5,105.5,-0.5,1009
336,2011/5/16,1909727,204128562,106.5,108.5,105,107,1.5,1060
337,2011/5/17,2180919,232988333,108,108.5,105,107.5,0.5,1325
338,2011/5/18,3272314,358424040,109,111,108,110.5,3,1878
339,2011/5/19,3852095,437416640,110.5,115.5,110.5,112.5,2,2198
340,2011/5/20,1253407,139290863,115,115,109,109,-3.5,932
341,2011/5/23,1575082,168742356,107.5,110,105,108,-1,901
342,2011/5/24,933499,100308142,110,110,105.5,107,-1,546
343,2011/5/25,1652174,182099222,105.5,113,105,110,3,1092
344,2011/5/26,4003856,459658862,110.5,117,109,116,6,2051
345,2011/5/27,5019210,592671150,116,120.5,115,115,-1,2164
346,2011/5/30,893142,102845257,115,116.5,114,114.5,-0.5,563
